Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,281
design__instance__area,1030.99
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0000807352625997737
power__switching__total,0.00004169781823293306
power__leakage__total,2.0624575380878696E-9
power__total,0.00012243514356669039
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25333552639394336
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25333552639394336
timing__hold__ws__corner:nom_tt_025C_1v80,0.3810676326791492
timing__setup__ws__corner:nom_tt_025C_1v80,18.648777272490594
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.381068
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,22.678410
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25460625994829245
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25460625994829245
timing__hold__ws__corner:nom_ss_100C_1v60,1.016006862954843
timing__setup__ws__corner:nom_ss_100C_1v60,17.63194262722518
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.016007
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,20.009233
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25259423045943585
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25259423045943585
timing__hold__ws__corner:nom_ff_n40C_1v95,0.13822479663211615
timing__setup__ws__corner:nom_ff_n40C_1v95,19.028157366124585
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.138225
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,23.531269
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25220570790098007
clock__skew__worst_setup,0.25220570790098007
timing__hold__ws,0.13573398345034898
timing__setup__ws,17.61555928763204
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.135734
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,19.994148
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 160.0 100.0
design__core__bbox,2.76 2.72 156.86 95.2
design__io,45
design__die__area,16000
design__core__area,14251.2
design__instance__count__stdcell,281
design__instance__area__stdcell,1030.99
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.0723442
design__instance__utilization__stdcell,0.0723442
design__instance__count__class:buffer,3
design__instance__count__class:inverter,3
design__instance__count__class:sequential_cell,11
design__instance__count__class:multi_input_combinational_cell,51
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1249
design__instance__count__class:tap_cell,198
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
floorplan__design__io,43
design__io__hpwl,768006
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1191.97
design__violations,0
design__instance__count__class:timing_repair_buffer,11
design__instance__count__class:clock_buffer,4
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,7
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,101
route__net__special,2
route__drc_errors__iter:1,15
route__wirelength__iter:1,1247
route__drc_errors__iter:2,10
route__wirelength__iter:2,1251
route__drc_errors__iter:3,9
route__wirelength__iter:3,1243
route__drc_errors__iter:4,6
route__wirelength__iter:4,1251
route__drc_errors__iter:5,0
route__wirelength__iter:5,1251
route__drc_errors,0
route__wirelength,1251
route__vias,465
route__vias__singlecut,465
route__vias__multicut,0
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,98.37
timing__unannotated_net__count__corner:nom_tt_025C_1v80,38
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,38
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,38
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2528617109492085
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2528617109492085
timing__hold__ws__corner:min_tt_025C_1v80,0.37717069424135075
timing__setup__ws__corner:min_tt_025C_1v80,18.657577344521865
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.377171
