Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,4418
design__instance__area,35823.1
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,15
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001271899789571762
power__switching__total,0.0005654276465065777
power__leakage__total,4.4045698643913056E-8
power__total,0.0018373713828623295
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4241092319599023
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.44651758554462934
timing__hold__ws__corner:nom_tt_025C_1v80,0.31270087404530533
timing__setup__ws__corner:nom_tt_025C_1v80,13.807111400558597
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.312701
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.807112
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,15
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5566344209781532
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5906379996711519
timing__hold__ws__corner:nom_ss_100C_1v60,0.8409585488230026
timing__setup__ws__corner:nom_ss_100C_1v60,2.543254567818475
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.840959
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.543255
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,15
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.36917031587733323
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.38560972173480346
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10995804578093589
timing__setup__ws__corner:nom_ff_n40C_1v95,17.966848073413278
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109958
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.966848
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,15
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3662303897138278
clock__skew__worst_setup,0.38102072575503215
timing__hold__ws,0.10757189887777543
timing__setup__ws,2.306913836365778
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107572
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.306914
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 300.0 300.0
design__core__bbox,2.76 2.72 297.16 296.48
design__io,45
design__die__area,90000
design__core__area,86482.9
design__instance__count__stdcell,4418
design__instance__area__stdcell,35823.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.414222
design__instance__utilization__stdcell,0.414222
design__instance__count__class:buffer,2
design__instance__count__class:inverter,134
design__instance__count__class:sequential_cell,415
design__instance__count__class:multi_input_combinational_cell,2060
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,6058
design__instance__count__class:tap_cell,1210
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,43
design__io__hpwl,2776148
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,71997.9
design__violations,0
design__instance__count__class:timing_repair_buffer,476
design__instance__count__class:clock_buffer,79
design__instance__count__class:clock_inverter,38
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,303
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,4
design__instance__count__class:antenna_cell,4
route__net,3170
route__net__special,2
route__drc_errors__iter:1,1512
route__wirelength__iter:1,83442
route__drc_errors__iter:2,599
route__wirelength__iter:2,82719
route__drc_errors__iter:3,508
route__wirelength__iter:3,82529
route__drc_errors__iter:4,60
route__wirelength__iter:4,82415
route__drc_errors__iter:5,0
route__wirelength__iter:5,82413
route__drc_errors,0
route__wirelength,82413
route__vias,22167
route__vias__singlecut,22167
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,491.42
timing__unannotated_net__count__corner:nom_tt_025C_1v80,72
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,72
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,72
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,15
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4200921118762892
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4402653088934751
timing__hold__ws__corner:min_tt_025C_1v80,0.3096436528159309
timing__setup__ws__corner:min_tt_025C_1v80,13.914642276694453
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
